+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
|       ResNet50      |       layer name       | Neuron numbers |  MACs (M) |    Parameters   |  Input shape   |  Output shape  |       Kernel       |
|  conv3_block4_1_bn  |   BatchNormalization   |     100352     |    0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
| conv3_block4_2_conv |         Conv2D         |     100352     |   115.71  |      147584     | (28, 28, 128)  | (28, 28, 128)  |       (3, 3)       |
|  conv3_block4_2_bn  |   BatchNormalization   |     100352     |    0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
| conv3_block4_3_conv |         Conv2D         |     401408     |   51.78   |      66048      | (28, 28, 128)  | (28, 28, 512)  |       (1, 1)       |
|  conv3_block4_3_bn  |   BatchNormalization   |     401408     |    0.8    |       2048      | (28, 28, 512)  | (28, 28, 512)  |         -          |
| conv4_block1_1_conv |         Conv2D         |     50176      |   25.74   |      131328     | (28, 28, 512)  | (14, 14, 256)  |       (1, 1)       |
|  conv4_block1_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block1_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block1_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block1_0_conv |         Conv2D         |     200704     |   102.96  |      525312     | (28, 28, 512)  | (14, 14, 1024) |       (1, 1)       |
| conv4_block1_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block1_0_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
|  conv4_block1_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
| conv4_block2_1_conv |         Conv2D         |     50176      |   51.43   |      262400     | (14, 14, 1024) | (14, 14, 256)  |       (1, 1)       |
|  conv4_block2_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block2_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block2_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block2_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block2_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
| conv4_block3_1_conv |         Conv2D         |     50176      |   51.43   |      262400     | (14, 14, 1024) | (14, 14, 256)  |       (1, 1)       |
|  conv4_block3_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block3_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block3_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block3_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block3_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
| conv4_block4_1_conv |         Conv2D         |     50176      |   51.43   |      262400     | (14, 14, 1024) | (14, 14, 256)  |       (1, 1)       |
|  conv4_block4_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block4_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block4_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block4_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block4_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
